u,y,fs
0,3.870967742,
4.95,3.695014663,
0,3.753665689,
0,3.724340176,
4.95,3.279569892,
0,3.450635386,
4.95,3.48973607,
0,3.611925709,
4.95,3.62170088,
4.95,3.699902248,
4.95,4.066471163,
4.95,4.173998045,
0,4.203323558,
0,3.880742913,
4.95,3.289345064,
4.95,3.592375367,
4.95,4.071358749,
4.95,4.173998045,
0,4.208211144,
4.95,3.870967742,
4.95,3.866080156,
0,4.115347019,
0,3.861192571,
0,3.269794721,
0,2.776148583,
4.95,2.311827957,
4.95,2.781036168,
0,3.866080156,
4.95,3.71945259,
0,3.753665689,
0,3.641251222,
0,3.152492669,
4.95,2.600195503,
4.95,3.005865103,
0,3.939393939,
0,3.71945259,
0,3.147605083,
4.95,2.61485826,
4.95,3.010752688,
0,3.880742913,
4.95,3.704789834,
0,3.729227761,
0,3.66568915,
0,3.152492669,
0,2.561094819,
4.95,2.06744868,
0,2.482893451,
0,3.250244379,
0,2.624633431,
4.95,2.179863148,
4.95,2.561094819,
0,3.734115347,
4.95,3.646138807,
4.95,3.734115347,
0,4.061583578,
4.95,3.890518084,
0,3.826979472,
4.95,3.651026393,
0,3.748778104,
0,3.709677419,
0,3.206256109,
4.95,2.673509286,
0,3.098729228,
0,3.362658847,
4.95,2.820136852,
4.95,3.274682307,
4.95,3.914956012,
4.95,4.17888563,
0,4.213098729,
4.95,3.934506354,
0,3.885630499,
4.95,3.675464321,
0,3.822091887,
0,3.616813294,
0,3.025415445,
4.95,2.47311828,
4.95,2.805474096,
0,3.914956012,
4.95,3.699902248,
4.95,3.885630499,
4.95,4.154447703,
4.95,4.208211144,
0,4.198435973,
4.95,3.89540567,
0,3.890518084,
0,3.699902248,
0,3.054740958,
4.95,2.565982405,
0,2.893450635,
4.95,3.323558162,
4.95,3.607038123,
0,4.027370479,
4.95,3.831867058,
4.95,3.866080156,
0,4.115347019,
4.95,3.905180841,
0,3.944281525,
4.95,3.734115347,
4.95,3.866080156,
0,4.134897361,
0,3.900293255,
4.95,3.274682307,
0,3.499511241,
0,3.558162268,
4.95,3.025415445,
4.95,3.289345064,
4.95,3.973607038,
0,4.139784946,
0,3.782991202,
0,3.230694037,
0,2.629521017,
4.95,2.062561095,
0,2.497556207,
0,3.16226784,
0,2.580645161,
4.95,2.052785924,
0,2.463343109,
0,3.108504399,
4.95,2.624633431,
4.95,2.839687195,
0,3.822091887,
4.95,3.704789834,
0,3.773216031,
4.95,3.709677419,
0,3.778103617,
4.95,3.739002933,
0,3.76344086,
0,3.709677419,
0,3.079178886,
0,2.531769306,
4.95,2.043010753,
4.95,2.487781036,
4.95,3.607038123,
4.95,4.090909091,
4.95,4.173998045,
4.95,4.2228739,
0,4.2228739,
4.95,3.875855327,
4.95,3.826979472,
0,4.100684262,
0,3.822091887,
4.95,3.294232649,
4.95,3.607038123,
4.95,4.066471163,
4.95,4.188660802,
0,4.203323558,
4.95,3.939393939,
0,3.870967742,
0,3.76344086,
0,3.181818182,
0,2.737047898,
0,2.267839687,
4.95,1.827956989,
4.95,2.292277615,
0,3.387096774,
4.95,3.592375367,
4.95,3.773216031,
0,4.095796676,
4.95,3.900293255,
4.95,3.846529814,
4.95,4.120234604,
0,4.17888563,
0,3.954056696,
0,3.406647116,
4.95,2.84457478,
0,3.103616813,
0,3.450635386,
4.95,2.88856305,
0,3.098729228,
4.95,3.494623656,
0,3.655913978,
0,3.66568915,
4.95,3.191593353,
0,3.445747801,
4.95,3.558162268,
0,3.641251222,
0,3.611925709,
4.95,3.132942326,
4.95,3.299120235,
4.95,4.002932551,
0,4.144672532,
0,3.914956012,
4.95,3.352883675,
4.95,3.460410557,
4.95,4.022482893,
0,4.169110459,
0,3.900293255,
0,3.421309873,
4.95,2.893450635,
0,3.318670577,
0,3.563049853,
0,2.991202346,
0,2.463343109,
4.95,1.999022483,
0,2.360703812,
0,3.03030303,
4.95,2.419354839,
0,2.917888563,
4.95,3.333333333,
0,3.519061584,
4.95,3.611925709,
4.95,3.680351906,
0,4.032258065,
4.95,3.787878788,
0,3.817204301,
0,3.675464321,
4.95,3.181818182,
4.95,3.523949169,
4.95,3.99315738,
4.95,4.144672532,
0,4.17888563,
0,3.880742913,
4.95,3.186705767,
4.95,3.411534702,
0,3.988269795,
0,3.773216031,
0,3.186705767,
4.95,2.619745846,
4.95,2.927663734,
0,3.80742913,
0,3.631476051,
0,3.054740958,
0,2.507331378,
0,1.955034213,
0,1.480938416,
4.95,1.065493646,
0,1.661779081,
0,2.678396872,
0,2.096774194,
0,1.632453568,
4.95,1.182795699,
4.95,1.642228739,
4.95,3.152492669,
4.95,3.944281525,
0,4.110459433,
4.95,3.812316716,
0,3.8514174,
4.95,3.685239492,
4.95,3.680351906,
0,4.042033236,
0,3.831867058,
4.95,3.191593353,
4.95,3.328445748,
0,4.002932551,
4.95,3.817204301,
4.95,3.831867058,
4.95,4.095796676,
0,4.159335288,
0,3.846529814,
0,3.372434018,
0,2.839687195,
0,2.272727273,
0,1.749755621,
4.95,1.256109482,
0,1.842619746,
4.95,2.741935484,
